City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
403,Nelson Bay,AU,75.76,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
406,Byron Bay,AU,78.75,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
408,Harper,LR,78.28,clear sky,4.375,-7.7169,Screensaver
412,Tura,IN,75.16,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
431,Indramayu,ID,82.42,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
433,Mahibadhoo,MV,81.7,overcast clouds,3.7833,72.9667,Omadhoo Inn
437,Voh,NC,85.03,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
444,Bonthe,SL,78.58,few clouds,7.5264,-12.505,Bonthe Holiday Village
446,Tete,MZ,82.49,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
447,Moindou,NC,84.15,overcast clouds,-21.6924,165.677,Gite de la RYAWA
448,Labuan,MY,87.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
455,Kinablangan,PH,84.42,overcast clouds,7.6947,126.5503,The Butler’s Haus
459,Jizan,SA,77.94,clear sky,17.3333,42.6667,شهدان. ابوالحجر
464,Isangel,VU,87.91,broken clouds,-19.55,169.2667,Tanna Lodge
468,Consolacion Del Sur,CU,75.06,broken clouds,22.5047,-83.5136,Cuarto de alquiler
472,Andros Town,BS,76.96,clear sky,24.7,-77.7667,Hanks place
480,Omboue,GA,76.75,moderate rain,-1.5746,9.2618,Hotel Olako
487,Qui Nhon,VN,77.0,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
492,Limon,CR,76.37,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
494,Sabang,ID,82.06,overcast clouds,5.8933,95.3214,Hotel Citra
496,Vao,NC,75.22,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
499,Noumea,NC,84.18,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
504,Sulangan,PH,84.58,broken clouds,11.1373,123.7228,Maia's Beach Resort
507,Atar,MR,76.24,overcast clouds,20.5169,-13.0499,Oumou Elghoura
508,Key West,US,77.0,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
511,Antalaha,MG,76.51,light rain,-14.9003,50.2788,Hotel Vitasoa
521,Kahului,US,78.06,broken clouds,20.8947,-156.47,Maui Seaside Hotel
523,Itupiranga,BR,79.12,broken clouds,-5.1347,-49.3267,Hotel Panorama
524,Pithoro,PK,78.03,clear sky,25.5167,69.3833,Village Haji Muhammad Yousif Panhwar
526,Sola,VU,82.76,scattered clouds,-13.8833,167.55,Leumerus Bungalows
527,San Juan Del Sur,NI,78.44,broken clouds,11.2529,-85.8705,Nuestra Casa
534,Ormara,PK,76.75,few clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
538,Paciran,ID,86.79,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
541,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Poutur Pousada
545,Kankon,IN,82.2,few clouds,15.0167,74.0167,Palolem Beach Resort
557,Mogadishu,SO,80.22,broken clouds,2.0371,45.3438,Hotel Juba
559,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
569,Atambua,ID,85.98,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
574,Mildura,AU,81.07,scattered clouds,-34.2,142.15,Mercure Hotel Mildura
575,Pondicherry,IN,82.47,overcast clouds,11.93,79.83,Villa Shanti for food lovers
584,Port Pirie,AU,78.89,broken clouds,-33.1833,138.0167,John Pirie Motor Inn
586,Iralaya,HN,76.35,scattered clouds,15.0,-83.2333,Iglesia morava renovada
589,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
590,Cotonou,BJ,82.38,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
594,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
599,Carolina,PR,78.69,few clouds,18.3808,-65.9574,Motel Fantasy Star
602,Puerto Escondido,MX,79.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
603,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
607,Porto Walter,BR,75.67,light rain,-8.2686,-72.7439,Secretaria de saúde
608,Salta,AR,77.59,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
613,Kirakira,SB,83.73,overcast clouds,-10.4544,161.9205,SanBiz Lodge
619,Ranong,TH,78.73,heavy intensity rain,9.9658,98.6348,Tinidee Hotel@Ranong
620,Miri,MY,84.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
622,Abu Dhabi,AE,75.96,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
628,Port Blair,IN,84.58,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
631,Kalianget,ID,85.33,light rain,-7.05,113.9333,Pesanggrahan Garam
632,Mana,GF,77.16,overcast clouds,5.6592,-53.7767,LE SAMANA
639,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
643,Champerico,GT,80.26,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
644,San Policarpo,PH,84.79,scattered clouds,12.1791,125.5072,Agapita M. Nicart
648,Auki,SB,82.87,overcast clouds,-8.7676,160.7034,Auki Motel
654,Ca Mau,VN,87.44,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
655,Nisia Floresta,BR,79.61,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
657,Akyab,MM,80.55,few clouds,20.15,92.9,Hotel Memory
661,Parrita,CR,80.37,overcast clouds,9.5201,-84.3225,Beso del Viento
662,Taungdwingyi,MM,82.74,clear sky,20.0167,95.55,NayNaing MobileService
666,Buala,SB,84.2,light rain,-8.145,159.5921,Maringe Lagoon Lodge
668,Beira,MZ,77.09,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
677,Chiang Kham,TH,85.05,few clouds,19.5233,100.3,Rico Resort
683,Berbera,SO,76.95,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
687,Farafangana,MG,76.35,broken clouds,-22.8167,47.8333,Miarina
690,Kudahuvadhoo,MV,82.11,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
691,Lethem,GY,75.58,broken clouds,3.3803,-59.7968,Savannah Inn
