City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Sorland,NO,67.667,12.6934,35.67,71,100,27.85,overcast clouds
332,Awjilah,LY,29.1081,21.2869,60.93,48,100,10.0,overcast clouds
333,Soyo,AO,-6.1349,12.3689,77.18,88,100,2.93,moderate rain
334,New Glasgow,CA,45.5834,-62.6486,54.91,88,100,29.57,light rain
335,Qujing,CN,25.4833,103.7833,40.51,91,100,4.54,overcast clouds
336,Honiara,SB,-9.4333,159.95,86.11,68,48,9.28,light rain
337,Ixtapa,MX,20.7,-105.2,75.22,88,1,0.0,clear sky
338,Kisangani,CD,0.5167,25.2,68.9,97,89,1.05,overcast clouds
339,Bani,DO,18.2833,-70.3333,74.82,87,28,2.59,scattered clouds
340,Borovoy,RU,55.4333,86.0833,31.28,80,90,13.42,light snow
341,Ola,RU,59.5833,151.2833,10.15,77,7,12.84,clear sky
342,Junin,AR,-34.5838,-60.9433,60.98,37,75,16.33,broken clouds
343,Balkhash,KZ,46.844,74.9804,32.61,93,20,11.18,few clouds
344,Pangnirtung,CA,66.1451,-65.7125,22.68,75,100,15.5,overcast clouds
345,Iskateley,RU,67.6803,53.1512,14.67,97,91,7.85,overcast clouds
346,Bintulu,MY,3.1667,113.0333,84.61,79,40,0.0,scattered clouds
